Commune,Id
Ourtzagh,1355
Tissa,1350
Tabouda,1360
El Bibane,1351
Kissane,1353
Oudka,1354
Ratba,1356
Sidi Haj M'hamed,1357
Sidi Mokhfi,1358
Sidi Yahya Bni Zeroual,1359
Tafrant,1361
Timezgana,1362
Bni Snous,1363
Bouchabel,1364
Ghouazi,1365
Jbabra,1366
Mkansa,1368
Taza,1376
Moulay Abdelkrim,1369
Moulay Bouchta,1370
Sidi El Abed,1371
Ain Mediouna,1372
Bni Oulid,1373
Bni Ounjel Tafraout,1374
Tahla,1375
Ajdir,1377
Gzenaya Al Janoubia,1379
Bourd,1378
Jbarna,1380
Sidi Ali Bourakba,1381
Tizi Ouasli,1382
Houara Oulad Raho,1385
Assebbab,1383
Barkine,1384
Lamrija,1386
Mazguitam,1387
Oulad Bourima,1388
Ras Laksar,1389
Saka,1390
Taddart,1391
Bni Frassen,1392
Bouchfaa,1393
Ghiata Al Gharbia,1395
Bouhlou,1394
Oulad Zbair,1396
Ait Saghrouchen,1398
Rbaa El Fouki,1397
Bouyablane,1399
Maghraoua,1400
Matmata,1401
Smià,1402
Zrarda,1404
Bni Ftah,1405
Brarha,1406
El Gouzate,1407
Kaf El Ghar,1408
Msila,1409
Taifa,1410
Tainaste,1411
Traiba,1412
Bab Boudir,1413
Bab Marzouka,1414
Bni Lent,1415
Galdamane,1416
Meknassa Acharqia,1417
Meknassa Al Gharbia,1418
Oulad Chrif,1419
Chefchaouen,1420
Amtar,1421
Bab Berred,1422
Bni Ahmed Cherqia,1423
Bni Rzine,1425
Bni Ahmed Gharbia,1424
Bni Smih,1426
Iounane,1427
Mansoura,1428
M'tioua,1429
Ouaouzgane,1430
Oued Malha,1431
Tamorot,1432
Bab Taza,1433
Bni Darkoul,1434
Bni Faghloum,1435
Bni Salah,1436
Derdara,1437
Fifi,1438
Laghdir,1439
Tanaqoub,1440
Bni Bouzra,1441
Bni Mansour,1442
Bni Selmane,1443
El Bsabsa,1446
Ain Maatouf,1444
Bouarouss,1445
Messassa,1447
Oulad Ayyad,1449
Sidi M'hamed Ben Lahcen,1453
Oulad Daoud,1450
Outabouabane,1451
Ras El Oued,1452
Aknoul,1454
Guercif,1455
Oued Amlil,1456
Boukhalef,1464
Al Manzla,1457
Aquouass Briech,1458
Azzinate,1459
Dar Chaoui,1460
Lkhaloua,1461
Sahel Chamali,1462
Sidi Lyamani,1463
Steha,1465
Talambote,1466
Tassift,1467
Tizgane,1468
Ain Beida,1469
Asjen,1470
Brikcha,1471
Kalaat Bouqorra,1472
Moqrisset,1473
Zoumi,1474
Anjra,1475
Jouamaa,1476
Ksar El Majaz,1477
Taghramt,1478
Al Bahraoyine,1479
Ksar Sghir,1480
Ksar El Kébir,1483
Laaouama,1481
Malloussa,1482
Larache,1484
Bou Jedyane,1485
Ksar Bjir,1486
Laouamra,1487
Oulad Ouchih,1488
Souaken,1489
Souk L'qolla,1490
Souk Tolba,1491
Tatoft,1492
Zouada,1493
Bni Arouss,1495
Bni Garfett,1496
Rissana Janoubia,1498
Rissana Chamalia,1497
Sahel,1499
Zaaroura,1501
Tazroute,1500
Bni Makada,1503
Charf-Mghogha,1504
Charf-Souani,1505
Tanger Médina,1506
Souk Kdim,1507
Al Hamra,1508
Al Khrroub,1509
Al Oued,1510
Azla,1511
Bghaghza,1512
Bni Idder,1513
Bni Leit,1514
Fnidq,1518
Bni Said,1515
Oulad Ali Mansour,1517
Martil,1519
Bni Harchen,1525
M'diq,1520
Oued Laou,1521
Tétouan,1522
Jbel Lahbib,1526
Ain Lahsan,1523
Allyene,1524
Mallalienne,1527
Saddina,1528
Sahtryine,1529
Zaitoune,1530
Zaouiat Sidi Kacem,1531
Merzouga,1534
Zinat,1532
Cabo Negro,1533
Marina Smir,1535
Mers El Kheir,1536
